ID,TxtGridDir,NWavs,NTxtGrids,Task1_wav,Task1_Prompt,Task1_Kaldi,Task1_IBM,Task1_nSpeakers,Task2_wav,Task2_Prompt,Task2_Kaldi,Task2_IBM,Task2_nSpeakers,Task3_wav,Task4_wav,Task_5_wav,Task5_Prompt,Task5_Kaldi,Task5_IBM,Task5_nSpeakers
628,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
632,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
651,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
653,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
665,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
667,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
671,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
681,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
682,1,5,3,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0
694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
